CompanyName,Industry,ESG_Environmental,ESG_Social,ESG_Governance,Year,Region,ESG_Rating
Company_1,Retail,60.7,33.5,76.8,2015,3,A
Company_1,Retail,58.9,32.8,78.5,2016,3,A
Company_1,Retail,57.6,34.0,77.8,2017,3,A
Company_1,Retail,62.3,33.4,78.3,2018,3,A
Company_1,Retail,63.7,30.0,76.1,2019,3,A
Company_1,Retail,65.1,28.5,73.5,2020,3,A
Company_1,Retail,66.8,25.5,74.6,2021,3,A
Company_1,Retail,69.0,27.1,76.9,2022,3,A
Company_1,Retail,68.3,27.0,78.1,2023,3,A
Company_1,Retail,68.9,29.9,76.8,2024,3,A
Company_1,Retail,70.7,29.1,78.0,2025,3,A
Company_2,Retail,61.1,48.6,69.8,2015,1,A
Company_2,Retail,61.1,50.1,70.5,2016,1,AA
Company_2,Retail,61.4,53.1,70.5,2017,1,AA
Company_2,Retail,61.7,52.0,70.6,2018,1,AA
Company_2,Retail,63.1,52.5,67.8,2019,1,AA
Company_2,Retail,64.2,57.9,67.9,2020,1,AA
Company_2,Retail,62.9,60.0,66.1,2021,1,AA
Company_2,Retail,66.7,57.7,67.8,2022,1,AA
Company_2,Retail,66.6,61.6,70.0,2023,1,AA
Company_2,Retail,65.4,63.0,68.7,2024,1,AA
Company_2,Retail,65.8,62.8,70.3,2025,1,AA
Company_3,Transportation,3.3,41.6,31.5,2015,3,CCC
Company_3,Transportation,7.0,40.2,33.5,2016,3,CCC
Company_3,Transportation,8.8,42.6,32.3,2017,3,CCC
Company_3,Transportation,8.3,42.9,33.5,2018,3,CCC
Company_3,Transportation,14.8,43.6,31.2,2019,3,CCC
Company_3,Transportation,17.7,42.0,32.6,2020,3,BB
Company_3,Transportation,18.5,43.9,32.2,2021,3,BB
Company_3,Transportation,18.8,44.9,30.2,2022,3,BB
Company_3,Transportation,20.2,43.8,32.9,2023,3,BB
Company_3,Transportation,23.4,41.5,31.5,2024,3,BB
Company_3,Transportation,24.4,43.7,34.9,2025,3,BB
Company_4,Technology,97.6,46.2,18.9,2015,0,A
Company_4,Technology,98.9,45.2,19.9,2016,0,A
Company_4,Technology,100.0,47.4,20.4,2017,0,A
Company_4,Technology,99.7,46.3,20.7,2018,0,A
Company_4,Technology,100.0,46.1,21.8,2019,0,A
Company_4,Technology,100.0,50.9,24.4,2020,0,A
Company_4,Technology,100.0,55.1,24.8,2021,0,A
Company_4,Technology,100.0,58.9,22.5,2022,0,AA
Company_4,Technology,100.0,64.1,23.8,2023,0,AA
Company_4,Technology,100.0,64.8,25.6,2024,0,AA
Company_4,Technology,100.0,65.4,27.0,2025,0,AA
Company_5,Finance,71.9,19.1,39.4,2015,4,BBB
Company_5,Finance,74.2,16.0,37.4,2016,4,BBB
Company_5,Finance,74.7,18.7,39.6,2017,4,BBB
Company_5,Finance,75.8,18.7,41.8,2018,4,BBB
Company_5,Finance,77.0,20.4,40.7,2019,4,BBB
Company_5,Finance,75.5,22.5,42.5,2020,4,BBB
Company_5,Finance,78.5,22.7,41.3,2021,4,BBB
Company_5,Finance,78.4,22.3,42.3,2022,4,BBB
Company_5,Finance,76.5,20.0,41.3,2023,4,BBB
Company_5,Finance,80.4,19.9,41.8,2024,4,BBB
Company_5,Finance,82.1,18.7,43.3,2025,4,BBB
Company_6,Transportation,56.9,76.8,73.7,2015,6,AA
